,Time,Scenario,Carbon price (US$2010/t CO2),E12 Emission,Cost E12,Cost E3,Reduced Asset E12,Reduced Asset E123,A/D E12,A/D E123,PD E12,PD E123
0,2025,Nationally Determined Contributions (NDCs) ,25.6532531474326,100000000.0,2565325314.74326,16674614545.83119,273206993325.0867,256532378779.25552,10.170250297341422,9.549530448706342,6.112040278943504e-34,2.986747344763724e-32
1,2030,Nationally Determined Contributions (NDCs) ,76.7320264625369,80000000.0,6138562117.002952,49875817200.64898,269633756522.827,219757939322.178,10.037234988295465,8.18058579150322,1.3900217113986543e-33,2.7102551286280306e-28
2,2035,Nationally Determined Contributions (NDCs) ,86.9034962083527,60000000.0,5214209772.501163,56487272535.42926,270558108867.3288,214070836331.89954,10.071644410221689,7.968880885366104,1.1231854890853136e-33,1.1930235091094088e-27
3,2040,Nationally Determined Contributions (NDCs) ,88.8078574230948,40000000.0,3552314296.923792,57725107325.01162,272220004342.90616,214494897017.89453,10.133509199072572,7.984666730616045,7.664408594482466e-34,1.0674376567956956e-27
4,2045,Nationally Determined Contributions (NDCs) ,90.7122186378369,20000000.0,1814244372.756738,58962942114.59399,273958074267.0732,214995132152.47922,10.198209615221973,8.003288203164505,5.146658720468646e-34,9.363196836996144e-28
5,2050,Nationally Determined Contributions (NDCs) ,92.616579852579,0.0,0.0,60200776904.176346,275772318639.82996,215571541735.65363,10.265745658669896,8.024745303011487,3.401499369805649e-34,8.052412958807177e-28
6,2025,Delayed transition,0.0,100000000.0,0.0,0.0,275772318639.82996,275772318639.82996,10.265745658669896,10.265745658669896,3.401499369805649e-34,3.401499369805649e-34
7,2030,Delayed transition,0.0,80000000.0,0.0,0.0,275772318639.82996,275772318639.82996,10.265745658669896,10.265745658669896,3.401499369805649e-34,3.401499369805649e-34
8,2035,Delayed transition,343.556706043628,60000000.0,20613402362.617683,223311858928.35822,255158916277.21228,31847057348.854065,9.498402703952124,1.185520694509585,4.140826524589754e-32,0.15031554333635327
9,2040,Delayed transition,583.336530035282,40000000.0,23333461201.411278,379168744522.9333,252438857438.41867,-126729887084.51462,9.3971473192442,-4.717575696423365,7.931835406830131e-32,
10,2045,Delayed transition,591.538912685074,20000000.0,11830778253.70148,384500293245.2981,263941540386.12848,-120558752859.16962,9.825339743037576,-4.487852515012819,5.2137522514032225e-33,
11,2050,Delayed transition,890.375237765118,0.0,0.0,578743904547.3267,275772318639.82996,-302971585907.4967,10.265745658669896,-11.278250326466978,3.401499369805649e-34,
12,2025,Net Zero 2050,199.48351555771,100000000.0,19948351555.771,129664285112.5115,255823967084.05896,126159681971.54745,9.523159512274491,4.696349560704359,3.5345036444238646e-32,2.440952247028889e-16
13,2030,Net Zero 2050,239.540999857945,80000000.0,19163279988.6356,155701649907.66425,256609038651.19437,100907388743.53012,9.552384146102193,3.7563218564896084,2.932862570907998e-32,1.6324238944960725e-12
14,2035,Net Zero 2050,320.060806574471,60000000.0,19203648394.468258,208039524273.40613,256568670245.3617,48529145971.95557,9.550881414468474,1.8065187689530742,2.9611143700849223e-32,0.000684177376750047
15,2040,Net Zero 2050,488.183229595151,40000000.0,19527329183.806038,317319099236.84814,256244989456.02393,-61074109780.82422,9.538832254950478,-2.2735105554900716,3.197805682948661e-32,
16,2045,Net Zero 2050,517.121273435331,20000000.0,10342425468.70662,336128827732.96515,265429893171.12335,-70698934561.8418,9.880744329025358,-2.6317988844221514,3.684251427357616e-33,
17,2050,Net Zero 2050,602.380013036337,0.0,0.0,391547008473.6191,275772318639.82996,-115774689833.78912,10.265745658669896,-4.3097636681124705,3.401499369805649e-34,
